A smiling cute star mascot with tiny thumbs up isolated on a clean white background, chubby rounded outline with a soft outer glow, overhead flat shot, bright even studio light, palette sunny yellow hex FFD84C and candy pink hex FFA6C1, clean space around the sticker, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute reward sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A rounded pastel mint speech bubble with a blank inner area and a tail isolated on a clean white background, soft outline and drop shadow, overhead flat shot, bright even studio light, palette pastel mint hex C8ECD8 and warm white hex FFFAF5, clean space around the bubble, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute label sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A coral ribbon banner with folded triangular ends and a blank center isolated on a clean white background, flat vector shape with gentle shading, overhead flat shot, bright even studio light, palette coral hex F58A75 and warm cream hex FFF3E0, clean space around the banner, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute label sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A round red stamp seal with a subtle grunge edge and blank center isolated on a clean white background, hand-stamped feel with light imperfections, overhead flat shot, bright even studio light, palette stamp red hex D24444 and warm cream hex FFF3E0, clean space around the stamp, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute label sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A small pastel yellow sticky note with a slightly curled corner and a soft shadow isolated on a clean white background, flat paper look with clean edges, overhead flat shot, bright even studio light, palette pastel yellow hex FFE9A8 and pastel pink hex FFC1D8, clean space around the note, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute label sticker illustration styling. No text, logo, watermark, or blur — sharp throughout.
A cute simplified pastel hanbok jeogori top with a soft pink tie isolated on a clean white background, flat illustration with clean rounded lines, overhead flat shot, bright even studio light, palette pastel mint hex C8ECD8 and candy pink hex FFA6C1, clean space around the illustration, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute seasonal decoration illustration styling. No text, logo, watermark, or blur — sharp throughout.
A small plate of cute pastel songpyeon rice cakes with tiny leaves isolated on a clean white background, flat illustration with soft rounded shapes, overhead flat shot, bright even studio light, palette pastel mint hex C8ECD8 and warm cream hex FFF3E0, clean space around the plate, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute seasonal decoration illustration styling. No text, logo, watermark, or blur — sharp throughout.
A soft glowing cream full moon with a tiny cute rabbit silhouette inside isolated on a clean white background, gentle outer halo, overhead flat shot, bright even studio light, palette warm cream hex F6E9D2 and night navy hex 2C3663, clean space around the moon, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute seasonal decoration illustration styling. No text, logo, watermark, or blur — sharp throughout.
A set of five cute simplified autumn maple leaves in warm tones isolated on a clean white background, flat illustration with soft rounded shapes, overhead flat shot, bright even studio light, palette autumn orange hex E8853A and rust hex B85C38, clean space between the leaves, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute seasonal decoration illustration styling. No text, logo, watermark, or blur — sharp throughout.
Three cute pastel Christmas ornaments with tiny strings isolated on a clean white background, soft round shapes with gentle highlights, overhead flat shot, bright even studio light, palette pastel red hex F49492 and pastel mint hex C8ECD8, clean space between the ornaments, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute seasonal decoration illustration styling. No text, logo, watermark, or blur — sharp throughout.
A small cherry blossom branch with a few soft pink blossoms isolated on a clean white background, flat illustration with delicate outlines, overhead flat shot, bright even studio light, palette cherry blossom pink hex FFC1D8 and warm brown hex 8B5E3C, clean space around the branch, everything sharp and in focus, plain unlettered unbranded surface, one continuous scene, cute seasonal decoration illustration styling. No text, logo, watermark, or blur — sharp throughout.
